,model_name,corpus,seed,suite,correct,tag,circuit,correct_delta,has_modifier,test_ppl
200,ordered-neurons,bllip-md,120,npz_ambig,0.7083333333333334,npz,Garden-Path Effects,0.0505050505050505,False,56.78
201,ordered-neurons,bllip-md,120,npz_ambig_mod,0.4583333333333333,npz,Garden-Path Effects,0.011047979797979834,True,56.78
202,ordered-neurons,bllip-md,120,npz_obj,0.9166666666666666,npz,Garden-Path Effects,0.0009469696969698349,False,56.78
203,ordered-neurons,bllip-md,120,npz_obj_mod,0.9166666666666666,npz,Garden-Path Effects,0.08143939393939403,True,56.78
204,ordered-neurons,bllip-md,120,number_orc,0.5789473684210527,number,Agreement,0.4238437001594897,,56.78
205,ordered-neurons,bllip-md,120,number_prep,0.3157894736842105,number,Agreement,-0.01236044657097285,,56.78
206,ordered-neurons,bllip-md,120,number_src,0.47368421052631576,number,Agreement,0.1770334928229665,,56.78
207,ordered-neurons,bllip-md,120,reflexive_orc_fem,0.0,reflexive,Licensing,-0.012759170653907496,,56.78
208,ordered-neurons,bllip-md,120,reflexive_orc_masc,0.0,reflexive,Licensing,-0.08054226475279105,,56.78
209,ordered-neurons,bllip-md,120,reflexive_prep_fem,0.0,reflexive,Licensing,-0.022328548644338118,,56.78
210,ordered-neurons,bllip-md,120,reflexive_prep_masc,0.3157894736842105,reflexive,Licensing,0.03628389154704942,,56.78
211,ordered-neurons,bllip-md,120,reflexive_src_fem,0.0,reflexive,Licensing,-0.017543859649122806,,56.78
212,ordered-neurons,bllip-md,120,reflexive_src_masc,0.42105263157894735,reflexive,Licensing,0.12998405103668265,,56.78
213,ordered-neurons,bllip-md,120,subordination,1.0,subordination,Gross Syntactic State,0.20948616600790515,,56.78
214,ordered-neurons,bllip-md,120,subordination_orc-orc,1.0,subordination,Gross Syntactic State,0.24505928853754932,,56.78
215,ordered-neurons,bllip-md,120,subordination_pp-pp,1.0,subordination,Gross Syntactic State,0.22068511198945984,,56.78
216,ordered-neurons,bllip-md,120,subordination_src-src,1.0,subordination,Gross Syntactic State,0.2971014492753624,,56.78
217,ordered-neurons,bllip-sm,111,center_embed,0.75,center,Center Embedding,0.018668831168831113,False,53.85
218,ordered-neurons,bllip-sm,111,center_embed_mod,0.5,center,Center Embedding,-0.08143939393939392,True,53.85
219,ordered-neurons,bllip-sm,111,cleft,0.9,cleft,Long-Distance Dependencies,0.11856060606060614,False,53.85
220,ordered-neurons,bllip-sm,111,cleft_modifier,0.3,cleft,Long-Distance Dependencies,-0.12234848484848493,True,53.85
221,ordered-neurons,bllip-sm,111,fgd_hierarchy,0.4166666666666667,fgd,Long-Distance Dependencies,-0.03503787878787884,,53.85
222,ordered-neurons,bllip-sm,111,fgd_object,0.8333333333333334,fgd,Long-Distance Dependencies,-0.007260101010100994,,53.85
223,ordered-neurons,bllip-sm,111,fgd_pp,0.4583333333333333,fgd,Long-Distance Dependencies,0.03977272727272724,,53.85
224,ordered-neurons,bllip-sm,111,fgd_subject,1.0,fgd,Long-Distance Dependencies,0.038510101010100994,,53.85
225,ordered-neurons,bllip-sm,111,mvrr,0.5714285714285714,mvrr,Garden-Path Effects,0.051677489177489155,False,53.85
226,ordered-neurons,bllip-sm,111,mvrr_mod,0.5714285714285714,mvrr,Garden-Path Effects,0.05492424242424243,True,53.85
227,ordered-neurons,bllip-sm,111,npi_orc_any,0.10526315789473684,npi,Licensing,0.024322169059011176,,53.85
228,ordered-neurons,bllip-sm,111,npi_orc_ever,0.07894736842105263,npi,Licensing,-0.2159090909090909,,53.85
229,ordered-neurons,bllip-sm,111,npi_src_any,0.0,npi,Licensing,-0.08393141945773525,,53.85
230,ordered-neurons,bllip-sm,111,npi_src_ever,0.0,npi,Licensing,-0.14473684210526316,,53.85
231,ordered-neurons,bllip-sm,111,npz_ambig,0.6666666666666666,npz,Garden-Path Effects,0.008838383838383757,False,53.85
232,ordered-neurons,bllip-sm,111,npz_ambig_mod,0.625,npz,Garden-Path Effects,0.17771464646464652,True,53.85
233,ordered-neurons,bllip-sm,111,npz_obj,0.9166666666666666,npz,Garden-Path Effects,0.0009469696969698349,False,53.85
234,ordered-neurons,bllip-sm,111,npz_obj_mod,0.9166666666666666,npz,Garden-Path Effects,0.08143939393939403,True,53.85
235,ordered-neurons,bllip-sm,111,number_orc,0.0,number,Agreement,-0.155103668261563,,53.85
236,ordered-neurons,bllip-sm,111,number_prep,0.5263157894736842,number,Agreement,0.19816586921850082,,53.85
237,ordered-neurons,bllip-sm,111,number_src,0.5263157894736842,number,Agreement,0.2296650717703349,,53.85
238,ordered-neurons,bllip-sm,111,reflexive_orc_fem,0.0,reflexive,Licensing,-0.012759170653907496,,53.85
239,ordered-neurons,bllip-sm,111,reflexive_orc_masc,0.05263157894736842,reflexive,Licensing,-0.027910685805422636,,53.85
240,ordered-neurons,bllip-sm,111,reflexive_prep_fem,0.0,reflexive,Licensing,-0.022328548644338118,,53.85
241,ordered-neurons,bllip-sm,111,reflexive_prep_masc,0.7894736842105263,reflexive,Licensing,0.5099681020733653,,53.85
242,ordered-neurons,bllip-sm,111,reflexive_src_fem,0.0,reflexive,Licensing,-0.017543859649122806,,53.85
243,ordered-neurons,bllip-sm,111,reflexive_src_masc,0.7894736842105263,reflexive,Licensing,0.49840510366826163,,53.85
244,ordered-neurons,bllip-sm,111,subordination,0.9565217391304348,subordination,Gross Syntactic State,0.16600790513833996,,53.85
245,ordered-neurons,bllip-sm,111,subordination_orc-orc,0.9565217391304348,subordination,Gross Syntactic State,0.20158102766798414,,53.85
246,ordered-neurons,bllip-sm,111,subordination_pp-pp,1.0,subordination,Gross Syntactic State,0.22068511198945984,,53.85
247,ordered-neurons,bllip-sm,111,subordination_src-src,1.0,subordination,Gross Syntactic State,0.2971014492753624,,53.85
248,ordered-neurons,bllip-sm,120,center_embed,0.7142857142857143,center,Center Embedding,-0.017045454545454586,False,54.06
249,ordered-neurons,bllip-sm,120,center_embed_mod,0.4642857142857143,center,Center Embedding,-0.11715367965367962,True,54.06
250,ordered-neurons,bllip-sm,120,cleft,1.0,cleft,Long-Distance Dependencies,0.21856060606060612,False,54.06
251,ordered-neurons,bllip-sm,120,cleft_modifier,0.2,cleft,Long-Distance Dependencies,-0.2223484848484849,True,54.06
252,ordered-neurons,bllip-sm,120,fgd_hierarchy,0.5833333333333334,fgd,Long-Distance Dependencies,0.13162878787878785,,54.06
253,ordered-neurons,bllip-sm,120,fgd_object,0.9166666666666666,fgd,Long-Distance Dependencies,0.07607323232323226,,54.06
254,ordered-neurons,bllip-sm,120,fgd_pp,0.4583333333333333,fgd,Long-Distance Dependencies,0.03977272727272724,,54.06
255,ordered-neurons,bllip-sm,120,fgd_subject,1.0,fgd,Long-Distance Dependencies,0.038510101010100994,,54.06
256,ordered-neurons,bllip-sm,120,mvrr,0.6785714285714286,mvrr,Garden-Path Effects,0.15882034632034636,False,54.06
257,ordered-neurons,bllip-sm,120,mvrr_mod,0.75,mvrr,Garden-Path Effects,0.23349567099567103,True,54.06
258,ordered-neurons,bllip-sm,120,npi_orc_any,0.07894736842105263,npi,Licensing,-0.0019936204146730335,,54.06
259,ordered-neurons,bllip-sm,120,npi_orc_ever,0.07894736842105263,npi,Licensing,-0.2159090909090909,,54.06
260,ordered-neurons,bllip-sm,120,npi_src_any,0.07894736842105263,npi,Licensing,-0.0049840510366826185,,54.06
